2026-06-17 01:52:16 | INFO    | src.extract |   батч 301/2000, всего активаций: 34115
2026-06-17 01:52:17 | INFO    | src.extract |   батч 306/2000, всего активаций: 34694
2026-06-17 01:52:19 | INFO    | src.extract |   батч 311/2000, всего активаций: 35297
2026-06-17 01:52:20 | INFO    | src.extract |   батч 316/2000, всего активаций: 35886
2026-06-17 01:52:22 | INFO    | src.extract |   батч 321/2000, всего активаций: 36480
2026-06-17 01:52:23 | INFO    | src.extract |   батч 326/2000, всего активаций: 37091
2026-06-17 01:52:25 | INFO    | src.extract |   батч 331/2000, всего активаций: 37694
2026-06-17 01:52:26 | INFO    | src.extract |   батч 336/2000, всего активаций: 38291
2026-06-17 01:52:27 | INFO    | src.extract |   батч 341/2000, всего активаций: 38902
2026-06-17 01:52:29 | INFO    | src.extract |   батч 346/2000, всего активаций: 39512
2026-06-17 01:52:31 | INFO    | src.extract |   батч 351/2000, всего активаций: 40110
2026-06-17 01:52:32 | INFO    | src.extract |   батч 356/2000, всего активаций: 40715
2026-06-17 01:52:34 | INFO    | src.extract |   батч 361/2000, всего активаций: 41336
2026-06-17 01:52:35 | INFO    | src.extract |   батч 366/2000, всего активаций: 41965
2026-06-17 01:52:36 | INFO    | src.extract |   батч 371/2000, всего активаций: 42595
2026-06-17 01:52:38 | INFO    | src.extract |   батч 376/2000, всего активаций: 43157
2026-06-17 01:52:39 | INFO    | src.extract |   батч 381/2000, всего активаций: 43774
2026-06-17 01:52:41 | INFO    | src.extract |   батч 386/2000, всего активаций: 44374
2026-06-17 01:52:42 | INFO    | src.extract |   батч 391/2000, всего активаций: 44968
2026-06-17 01:52:44 | INFO    | src.extract |   батч 396/2000, всего активаций: 45589
2026-06-17 01:52:45 | INFO    | src.extract |   батч 401/2000, всего активаций: 46204
2026-06-17 01:52:46 | INFO    | src.extract |   батч 406/2000, всего активаций: 46867
2026-06-17 01:52:48 | INFO    | src.extract |   батч 411/2000, всего активаций: 47484
2026-06-17 01:52:50 | INFO    | src.extract |   батч 416/2000, всего активаций: 48099
2026-06-17 01:52:51 | INFO    | src.extract |   батч 421/2000, всего активаций: 48738
2026-06-17 01:52:53 | INFO    | src.extract |   батч 426/2000, всего активаций: 49345
2026-06-17 01:52:54 | INFO    | src.extract |   батч 431/2000, всего активаций: 49959
2026-06-17 01:52:56 | INFO    | src.extract |   батч 436/2000, всего активаций: 50630
2026-06-17 01:52:57 | INFO    | src.extract |   батч 441/2000, всего активаций: 51274
2026-06-17 01:52:59 | INFO    | src.extract |   батч 446/2000, всего активаций: 51912
2026-06-17 01:53:01 | INFO    | src.extract |   батч 451/2000, всего активаций: 52544
2026-06-17 01:53:02 | INFO    | src.extract |   батч 456/2000, всего активаций: 53179
2026-06-17 01:53:04 | INFO    | src.extract |   батч 461/2000, всего активаций: 53818
2026-06-17 01:53:05 | INFO    | src.extract |   батч 466/2000, всего активаций: 54440
2026-06-17 01:53:07 | INFO    | src.extract |   батч 471/2000, всего активаций: 55049
2026-06-17 01:53:08 | INFO    | src.extract |   батч 476/2000, всего активаций: 55641
2026-06-17 01:53:10 | INFO    | src.extract |   батч 481/2000, всего активаций: 56281
2026-06-17 01:53:12 | INFO    | src.extract |   батч 486/2000, всего активаций: 56905
2026-06-17 01:53:13 | INFO    | src.extract |   батч 491/2000, всего активаций: 57528
2026-06-17 01:53:15 | INFO    | src.extract |   батч 496/2000, всего активаций: 58134
2026-06-17 01:53:16 | INFO    | src.extract |   батч 501/2000, всего активаций: 58784
2026-06-17 01:53:18 | INFO    | src.extract |   батч 506/2000, всего активаций: 59404
2026-06-17 01:53:19 | INFO    | src.extract |   батч 511/2000, всего активаций: 60038
2026-06-17 01:53:21 | INFO    | src.extract |   батч 516/2000, всего активаций: 60711
2026-06-17 01:53:23 | INFO    | src.extract |   батч 521/2000, всего активаций: 61364
2026-06-17 01:53:24 | INFO    | src.extract |   батч 526/2000, всего активаций: 61965
2026-06-17 01:53:26 | INFO    | src.extract |   батч 531/2000, всего активаций: 62581
2026-06-17 01:53:27 | INFO    | src.extract |   батч 536/2000, всего активаций: 63242
2026-06-17 01:53:29 | INFO    | src.extract |   батч 541/2000, всего активаций: 63870
2026-06-17 01:53:30 | INFO    | src.extract |   батч 546/2000, всего активаций: 64492
2026-06-17 01:53:32 | INFO    | src.extract |   батч 551/2000, всего активаций: 65100
2026-06-17 01:53:33 | INFO    | src.extract |   батч 556/2000, всего активаций: 65675
2026-06-17 01:53:35 | INFO    | src.extract |   батч 561/2000, всего активаций: 66305
2026-06-17 01:53:36 | INFO    | src.extract |   батч 566/2000, всего активаций: 66925
2026-06-17 01:53:38 | INFO    | src.extract |   батч 571/2000, всего активаций: 67542
2026-06-17 01:53:39 | INFO    | src.extract |   батч 576/2000, всего активаций: 68137
2026-06-17 01:53:41 | INFO    | src.extract |   батч 581/2000, всего активаций: 68734
2026-06-17 01:53:43 | INFO    | src.extract |   батч 586/2000, всего активаций: 69340
2026-06-17 01:53:44 | INFO    | src.extract |   батч 591/2000, всего активаций: 69931
2026-06-17 01:53:46 | INFO    | src.extract |   батч 596/2000, всего активаций: 70555
2026-06-17 01:53:47 | INFO    | src.extract |   батч 601/2000, всего активаций: 71128
2026-06-17 01:53:49 | INFO    | src.extract |   батч 606/2000, всего активаций: 71760
2026-06-17 01:53:50 | INFO    | src.extract |   батч 611/2000, всего активаций: 72401
2026-06-17 01:53:52 | INFO    | src.extract |   батч 616/2000, всего активаций: 73000
2026-06-17 01:53:54 | INFO    | src.extract |   батч 621/2000, всего активаций: 73619
2026-06-17 01:53:55 | INFO    | src.extract |   батч 626/2000, всего активаций: 74287
2026-06-17 01:53:57 | INFO    | src.extract |   батч 631/2000, всего активаций: 74933
2026-06-17 01:53:58 | INFO    | src.extract |   батч 636/2000, всего активаций: 75526
2026-06-17 01:54:00 | INFO    | src.extract |   батч 641/2000, всего активаций: 76132
2026-06-17 01:54:02 | INFO    | src.extract |   батч 646/2000, всего активаций: 76780
2026-06-17 01:54:03 | INFO    | src.extract |   батч 651/2000, всего активаций: 77413
2026-06-17 01:54:05 | INFO    | src.extract |   батч 656/2000, всего активаций: 78054
2026-06-17 01:54:06 | INFO    | src.extract |   батч 661/2000, всего активаций: 78676
2026-06-17 01:54:08 | INFO    | src.extract |   батч 666/2000, всего активаций: 79313
2026-06-17 01:54:09 | INFO    | src.extract |   батч 671/2000, всего активаций: 79941
