2026-06-17 19:22:32 | INFO    | src.analysis | Контраст на BALANCED: позиций 51539/228638, ответов 1785 (до баланса {'Yes': 5956, 'No': 595, '?': 1449}, источник=dir)
2026-06-17 19:22:33 | INFO    | __main__ | Кодирую balanced-срез: 51539 позиций → features ...
2026-06-17 20:53:10 | INFO    | src.io_utils | Логирование инициализировано: artifacts/logs/03_analyze.log (level=INFO)
2026-06-17 20:53:34 | INFO    | src.io_utils | Активации загружены: artifacts/activations.npz (hidden.shape=(228638, 3584))
2026-06-17 20:53:34 | INFO    | src.data | Загружено 8000 samples из artifacts/samples.json
2026-06-17 20:53:52 | INFO    | src.io_utils | SAE загружён: artifacts/sae_topk.pt (mode=topk, d_hidden=57344)
2026-06-17 20:53:52 | INFO    | __main__ | Считаю статистику нейронов потоково (без матрицы N×d_hidden) ...
2026-06-17 21:32:57 | INFO    | __main__ | Статистика сохранена: artifacts/neuron_stats_topk.npz
2026-06-17 21:32:57 | INFO    | __main__ | Мёртвых нейронов: 23435 / 57344
2026-06-17 21:32:57 | INFO    | __main__ | Живых нейронов: 33909
2026-06-17 21:32:57 | INFO    | __main__ | fire_rate среди живых: min=0.0000, median=0.0000, mean=0.0019, max=0.5732
2026-06-17 21:32:57 | INFO    | __main__ | Выбрано top-50 интересных нейронов.
2026-06-17 21:32:57 | INFO    | __main__ | Yes/No контраст: pos=Yes, neg=No, slice=balanced
2026-06-17 21:32:57 | INFO    | build_datasets | Загружено файлов: 10 из data/results_dilemma_v2_balanced
2026-06-17 21:32:57 | INFO    | build_datasets | balanced_sample_mask: источник=папка data/results_dilemma_v2_balanced, ответов в срезе=1785
2026-06-17 21:32:57 | INFO    | src.analysis | Контраст на BALANCED: позиций 51539/228638, ответов 1785 (до баланса {'Yes': 5956, 'No': 595, '?': 1449}, источник=dir)
2026-06-17 21:32:58 | INFO    | src.analysis | Контраст: позиции прорежены до 20000 (contrast.max_positions)
2026-06-17 21:32:58 | INFO    | __main__ | Кодирую balanced-срез: 20000 позиций → features ...
2026-06-17 22:28:59 | INFO    | __main__ | TopK sanity: доля нулей = 0.9989, ожидалось 0.9989
2026-06-18 05:01:43 | INFO    | __main__ | Sample-level: n_pos=595, n_neg=595
2026-06-18 05:01:43 | INFO    | src.analysis | Найдено: 10 Yes-нейронов, 10 No-нейронов (пересечение token & sample, pool=30)
2026-06-18 05:01:43 | INFO    | __main__ | Собираем отчёт по нейронам ...
2026-06-18 05:01:55 | INFO    | __main__ | Отчёт сохранён: artifacts/neuron_report_topk.json (нейронов: 70)
