id,cluster
1,31
2,31
3,31
4,41
5,31
6,31
7,95
8,31
9,31
10,26
11,92
12,17
13,74
14,84
15,7
16,92
17,26
18,31
19,35
20,38
21,72
22,54
23,14
24,59
25,84
26,38
27,16
28,72
29,31
30,26
31,69
32,93
33,1
34,77
35,90
36,25
37,31
38,77
39,77
40,54
41,70
42,90
43,90
44,0
45,1
46,57
47,1
48,84
49,77
51,1
53,54
54,92
55,92
56,77
57,72
58,38
59,11
60,91
61,89
62,25
63,28
64,25
66,77
67,14
68,25
69,28
70,2
71,89
72,25
73,41
74,92
75,77
76,92
77,76
78,16
79,90
80,77
81,82
82,91
83,25
84,90
85,16
86,91
87,84
88,89
89,31
90,82
91,7
92,82
93,33
94,16
95,82
96,44
97,44
98,0
99,14
100,10
101,89
102,94
103,82
104,31
105,1
106,16
107,16
108,33
109,98
110,93
111,16
112,43
113,92
115,31
117,34
118,77
119,16
120,7
121,16
122,16
123,25
124,26
125,1
126,44
128,72
130,20
131,76
132,22
133,76
134,93
135,0
136,24
137,17
138,13
139,16
140,16
141,1
142,59
143,1
144,7
145,1
146,92
147,31
148,31
149,16
150,89
151,38
152,93
153,1
154,85
155,16
156,34
157,1
158,1
159,90
160,93
161,1
162,20
163,24
164,7
165,16
166,1
167,51
168,51
169,44
170,33
171,1
172,33
173,33
174,76
175,0
176,0
177,0
178,1
179,16
180,84
181,58
200,58
201,44
202,14
203,1
204,33
205,13
206,14
207,98
208,1
209,76
210,70
211,43
212,28
213,98
214,98
215,16
216,20
217,1
219,16
220,7
221,33
222,43
223,76
224,16
225,74
228,69
230,69
232,99
233,1
234,82
235,15
236,3
238,15
240,15
241,94
242,1
243,87
244,33
245,13
246,38
247,54
248,54
249,51
250,89
251,31
252,31
253,54
254,11
255,54
257,69
258,98
259,98
260,99
261,98
262,99
263,38
264,99
265,88
266,38
267,93
268,59
269,16
270,1
271,92
272,26
273,18
274,18
275,18
276,34
277,31
278,95
279,23
280,13
281,18
282,84
283,16
284,70
285,16
286,94
287,59
288,82
289,92
290,13
291,16
292,59
293,92
294,7
295,94
296,92
297,93
298,70
299,59
300,31
301,38
302,28
303,77
304,98
305,33
306,94
307,82
308,7
309,38
310,16
311,70
312,24
313,38
314,27
315,12
316,92
317,98
318,13
319,2
321,7
322,85
323,99
324,85
325,76
326,27
327,94
328,38
329,7
330,16
331,59
332,59
333,13
334,15
335,62
336,35
337,35
338,35
339,35
340,35
341,35
342,13
343,29
344,16
345,16
346,59
347,91
348,69
349,59
350,1
351,16
352,59
353,98
354,2
355,76
356,85
357,91
358,1
359,57
360,89
361,1
362,93
363,33
364,16
365,27
366,16
367,16
368,11
369,91
370,85
371,15
372,1
373,15
374,80
375,41
376,45
377,1
378,82
379,2
380,1
381,13
382,29
383,80
384,92
385,59
386,15
387,13
388,59
389,76
390,38
391,91
392,88
393,16
394,1
395,0
396,93
397,38
398,26
399,92
400,69
401,1
402,16
403,22
404,13
405,13
406,13
407,13
408,14
409,98
410,59
411,91
412,13
413,38
414,32
415,97
416,59
417,34
418,18
419,92
420,92
421,92
422,85
423,79
424,99
425,13
426,37
427,44
428,93
429,59
430,93
431,33
432,0
433,16
434,16
435,79
436,92
437,97
438,38
439,20
440,92
441,38
442,98
443,43
444,89
445,89
446,33
447,1
448,11
449,33
450,93
451,7
452,43
453,94
454,98
455,11
456,56
457,93
458,98
459,16
460,74
461,93
462,92
463,41
464,42
465,27
466,89
467,0
468,47
469,0
470,18
471,1
472,16
473,74
474,74
475,45
476,77
477,33
478,93
479,92
480,56
481,33
482,16
483,16
484,17
485,92
486,92
487,38
488,63
489,59
490,95
491,87
492,13
493,16
494,93
495,93
496,3
497,13
498,17
499,17
500,3
501,3
502,59
503,74
504,37
505,18
506,1
507,1
508,16
509,48
510,48
511,48
512,85
513,16
514,1
515,37
516,95
517,92
518,92
519,57
520,57
521,7
522,72
523,96
524,93
525,92
526,16
527,16
528,92
529,51
530,92
531,89
532,16
533,32
534,27
535,27
536,42
537,33
538,59
539,13
540,74
541,70
542,13
543,93
544,1
545,90
546,16
547,33
548,12
549,59
550,1
551,16
552,44
553,44
554,10
555,85
556,3
557,85
558,33
559,22
560,22
561,7
562,17
563,20
564,33
565,53
566,6
567,73
568,73
569,73
570,18
571,84
572,3
573,88
574,99
575,2
577,15
578,89
579,98
580,85
581,1
582,3
583,1
584,14
585,14
586,79
587,80
588,85
589,29
590,13
591,98
592,98
593,49
594,74
595,98
596,38
597,73
598,69
599,0
600,87
601,76
602,69
603,13
604,25
605,25
606,35
608,54
609,31
610,91
611,16
612,89
613,67
614,27
615,91
616,18
617,12
618,88
619,16
620,37
621,20
622,13
623,69
624,90
625,15
626,54
627,27
633,28
634,28
636,76
637,13
638,16
639,20
640,74
641,74
642,76
643,16
644,57
645,16
646,92
647,33
648,60
649,99
650,53
651,99
652,82
653,57
654,18
655,13
656,13
657,88
658,69
659,92
660,54
661,54
662,54
663,54
664,54
665,54
666,54
667,54
668,54
669,54
670,54
671,92
672,77
673,54
674,65
675,31
676,85
677,72
678,85
679,38
680,38
681,37
682,28
683,40
684,83
685,83
686,53
687,13
688,59
689,87
690,89
691,98
692,98
693,15
694,56
695,74
696,82
697,3
698,13
699,46
700,1
701,92
702,17
703,99
704,76
705,15
706,33
707,33
708,92
709,74
710,59
711,82
712,31
713,76
714,17
715,25
716,7
717,16
718,82
719,10
720,82
721,57
722,31
723,15
724,2
725,13
726,16
727,31
728,13
729,77
730,85
731,53
732,53
733,53
734,53
735,53
736,53
737,17
738,33
739,31
740,31
741,31
742,36
743,11
744,28
746,59
747,79
748,94
749,82
750,88
751,1
752,74
753,59
754,2
755,27
756,27
757,99
759,15
760,13
761,85
762,77
763,59
764,17
765,25
766,1
767,1
768,16
769,82
770,74
771,13
772,38
773,15
774,80
775,90
776,93
777,77
778,1
779,88
780,90
781,7
782,42
783,17
784,17
785,38
786,16
787,93
788,59
789,0
790,1
791,99
792,70
793,12
794,92
795,99
804,0
805,16
806,69
807,33
808,10
809,57
810,15
811,88
812,28
813,87
814,59
815,31
816,31
817,77
818,77
819,77
820,13
821,1
822,37
823,18
824,2
829,82
830,69
831,88
832,82
833,89
834,33
835,38
836,91
837,92
838,73
839,82
840,91
841,98
842,15
843,31
844,10
845,41
846,31
847,65
848,91
849,80
850,70
851,13
852,8
853,20
854,93
855,15
856,11
857,80
858,10
859,10
860,93
861,28
862,11
863,33
864,91
865,37
866,15
867,93
868,80
869,15
870,82
871,69
872,15
873,3
874,77
875,10
876,93
877,85
878,70
879,35
880,64
881,16
882,85
883,1
884,76
885,10
886,42
887,85
888,85
889,96
890,53
891,53
892,53
893,53
894,53
895,53
896,31
897,74
898,37
899,28
900,53
901,43
902,74
903,91
904,1
905,33
906,41
907,77
908,63
909,41
910,59
911,59
912,85
913,87
914,60
915,74
916,85
917,85
918,85
919,11
920,11
921,73
922,18
923,41
924,76
925,31
926,20
927,85
928,3
929,77
930,55
931,38
932,76
933,38
934,99
935,20
936,59
937,98
938,59
939,13
940,91
941,98
942,16
943,10
944,42
945,16
946,1
947,96
948,11
949,7
950,86
951,86
952,86
953,17
954,86
955,92
956,92
957,92
958,82
959,92
960,3
961,3
962,98
963,92
964,82
